.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,padj_method
bwpd,t0,t2,126,118,6.07645268117013,238.872829298258,4.82e-09,2.892e-08,****,bonferroni
bwpd,t0,t4,126,108,0.886200203638324,224.769637407723,0.376,1,ns,bonferroni
bwpd,t0,t6,126,71,4.58731187348379,141.664773603671,9.79e-06,5.874e-05,****,bonferroni
bwpd,t2,t4,118,108,-4.77592169253222,206.632265519432,3.39e-06,2.034e-05,****,bonferroni
bwpd,t2,t6,118,71,-0.142815720396925,124.50522416505,0.887,1,ns,bonferroni
bwpd,t4,t6,108,71,3.66838569110671,149.322545841751,0.000339,0.002034,**,bonferroni
unrooted_pd,t0,t2,126,118,-9.15175486040774,241.945945028835,2.41e-17,1.446e-16,****,bonferroni
unrooted_pd,t0,t4,126,108,-5.23350404598849,230.80440927468,3.73e-07,2.238e-06,****,bonferroni
unrooted_pd,t0,t6,126,71,-3.99067813941134,170.009449963978,9.78e-05,0.0005868,***,bonferroni
unrooted_pd,t2,t4,118,108,4.53679489668114,222.316386801294,9.35e-06,5.61e-05,****,bonferroni
unrooted_pd,t2,t6,118,71,4.7200924461477,164.818599389999,5.01e-06,3.006e-05,****,bonferroni
unrooted_pd,t4,t6,108,71,0.721096612384212,147.065851540433,0.472,1,ns,bonferroni
